Key,en,pl
pokedex.stats.defense,Defense,Defensywa
pokedex.stats.defenseLong,Defense,Defensywa
pokedex.stats.specialAttack,Sp. Atk.,Sp. Atk.
pokedex.stats.specialAttackLong,Special Attack,Specjalny Atak
pokedex.stats.specialDefense,Sp. Def.,Sp. Def.
pokedex.stats.specialDefenseLong,Special Defense,Specjalna Defensywa
pokedex.stats.speed,Speed,Szybk.
pokedex.stats.speedLong,Speed,Szybkość
pokedex.stats.total,Total,Totalne
pokedex.stats.totalLong,Total,Totalne
pokedexHelp.searchByName.heading,Search by name,Szukaj według nazwy
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.","Możesz wyszukać Pokémona według nazwy. Jeśli pamiętasz tylko część imienia Pokémona, prawdopodobnie nadal może go dla ciebie znaleźć. Teraz nie radzi sobie z literówkami."
pokedexHelp.searchByNumber.heading,Search by number,Szukaj według numeru
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbasaur, just type 1, not #001.","Szukaj według krajowego numeru dex. Jeśli chcesz Bulbasaura, po prostu wpisz 1, a nie #001."
pokedexHelp.searchByType.heading,Search by type,Search by typu
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,Oto kilka przykładów wyszukiwania według typu.
pokedexHelp.searchExamples.type.query,fire,ognisty
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","Szukaj Pokémonów, które mają ogień jako jeden ze swoich typów w dowolnej formie (np. Charmander, Charizard, Rotom)."
pokedexHelp.searchExamples.doubleType.query,water flying,wodny latający
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,Szukaj Pokémonów woda/latanie (np. Gyarados) lub latanie/woda(np. Cramorant).
pokedexHelp.searchExamples.singleType.query,grass none,trawiasty nic
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","Szukaj Pokémonów, które są tylko typu trawiastego, bez drugiego typu (np. Tangela, Chikorita, Lilligant)."
pokedexHelp.back,Back to Pokédex,Wróc do Pokédexu
more.contact.heading,Contact me,Skontaktuj się ze mną
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","Cześć, jestem <homepage>Sage Fennel</homepage> (oni) i stworzyłem kalkulator typów Pokémonów (pkmn.help)."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,Wyślij swoje myśli i podziękowania e-mailem na adres <email>pkmn@wavebeem.com</email>.
more.settings.heading,Settings,Ustawienia
more.settings.language.label,Language,Język
more.settings.language.default,Auto detect language,Automatyczne wykrywanie języka
more.settings.language.official,Official languages,
more.settings.language.unofficial,Unofficial languages,
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.","Obsługa języków jest niekompletna. Proszę o kontakt mailowy, zapłacę za tłumaczenie."
more.settings.theme.label,Theme,Motyw
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,„Domyślne ustawienie” zmieni się automatycznie w zależności od ustawień systemu operacyjnego.
more.settings.theme.values.auto,System default,Domyślne ustawienie
more.settings.theme.values.light,Light,Tryb Jasny
more.settings.theme.values.dark,Dark,Tryb Ciemny
more.settings.typeCount.label,Number of types,Ilość typów
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,"Pokémony mogą przez krótki czas mieć trzy typy jednocześnie, jeśli zostaną trafieni Klątwą Lasu lub Cukierek albo psikus. Pole trzeciego typu jest domyślnie ukryte, ponieważ jest rzadko używane."
more.settings.typeCount.values.2,Two types (2),Dwa typy (2)
more.settings.typeCount.values.3,Three types (3),Trzy typy (3)
more.changes.heading,What’s new,Co nowego
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,"Zobacz, co nowego w <changelog>dzienniku zmian</changelog>."
more.help.heading,Help,Pomoc
more.help.serviceWorker.description,This button can help fix issues in the app.,Ten przycisk może pomóc rozwiązać problemy w aplikacji.
more.help.serviceWorker.button,Reset,Zresetuj
more.privacy.heading,Privacy,Prywatność
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.","Nigdy nie będę wyświetlać reklam ani kraść Twoich danych osobowych. Używam <plausible>Plausible Analytics</plausible>, która jest samofinansująca się, niezależna, hostowana w UE i nie przechowuje żadnych plików cookie na Twoim komputerze."
more.givingBack.heading,Showing appreciation,Okazywanie uznania
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.","Spędziłem niezliczone godziny ulepszając tę stronę. Jeśli doceniasz to, co zrobiłem, rozważ przekazanie darowizny na rzecz organizacji charytatywnych, które wspierają prawa BIPOC i osób transpłciowych."
more.thanks.heading,Special thanks,Szczególne podziękowania
more.thanks.sections.da,Danish translation,Tłumaczenie duńskie
more.thanks.sections.ru,Russian translation,Tłumaczenie rosyjskie
more.thanks.sections.kk,Kazakh translation,Tłumaczenie kazachskie
more.thanks.sections.pt-PT,Portuguese (Portugal) translation,
more.thanks.sections.pt-BR,Portuguese (Brazil) translation,Tłumaczenie brazylijskiego portugalskiego
more.thanks.sections.zh-Hans,Simplified Chinese translation,Tłumaczenie uproszczonego chińskiego
more.thanks.sections.zh-Hant,Traditional Chinese translation,
more.thanks.sections.no,Norwegian translation,
more.thanks.sections.ro,Romanian translation,Tłumaczenie rumuńskie
more.thanks.sections.pl,Polish translation,Tłumaczenie polskie
more.thanks.sections.fr,French translation,Tłumaczenie francuskie
more.thanks.sections.de,German translation,Tłumaczenie niemieckie
more.thanks.sections.it,Italian translation,Tłumaczenie włoskie
more.thanks.sections.ko,Korean translation,
more.thanks.sections.ja,Japanese translation,Tłumaczenie japońskie
more.thanks.sections.nl,Dutch translation,
more.thanks.sections.testing,Testing,Testowanie
more.thanks.sections.other,Several anonymous Poké Fans,Kilku anonimowych fanów Poké
more.openSource.heading,Open source,Otwarte źródło
more.openSource.description,Source code is available on <github>GitHub</github>.,Otwarte źródło jest dostępne na <github>GitHubie</github>.
more.legalInfo.heading,Legal info,Informacje prawne
types.normal,Normal,Normalny
types.fighting,Fighting,Walczący
types.flying,Flying,Latający
types.poison,Poison,Trujący
types.ground,Ground,Ziemny
types.rock,Rock,Kamienny
types.bug,Bug,Robaczy
types.ghost,Ghost,Duch
types.steel,Steel,Stalowy
types.fire,Fire,Ognisty
types.water,Water,Wodny
types.grass,Grass,Trawiasty
types.electric,Electric,Elektryczny
types.psychic,Psychic,Psychiczny
types.ice,Ice,Lodowy
types.dragon,Dragon,Smoczy
types.dark,Dark,Mroczy
types.fairy,Fairy,Bajkowy
types.stellar,Stellar,
types.none,None,Nic
banners.updateReady.description,An update is available,Aktualizacja jest dostępna
banners.updateReady.whatsNew,What’s new,Co nowego
banners.updateReady.update,Update,Aktualizacja
general.loading,Loading…,Ładowanie…
general.copyLink,Copy link,
games.label,Game generation,Generacja Gry
games.help,Use type effectiveness from different game generations.,Wykorzystaj skuteczność typu z różnych generacji gier.
games.byID.gen1,Generation 1,Generacja 1-sza
games.byID.gen2,Generation 2–5,Generacja 2-5
games.byID.default,Default (generation 6+),Domyślne (Generacja 6+)
